submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,avg_age,spend,spend_on_equipment
2eNLJg,18-24 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Full Bodied,Somewhat light,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
xpa2K9,18-24 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Full Bodied,Somewhat light,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
V00RoJ,18-24 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,cortado,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Full Bodied,Somewhat light,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,21.0,100.0,750.0
7WWB4A,<18 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",Aeropress,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Other,cortado,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Full Bodied,Somewhat light,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,18.0,100.0,750.0
pKL8aB,25-34 years old,1,At the office,"Pour over, Espresso, Instant coffee",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Fruity,Somewhat strong,Light,Full caffeine,7.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,29.5,100.0,750.0
Zd694B,<18 years old,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,"No - just black, Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Whole milk,"Granulated Sugar, Brown Sugar",Bright,Medium,Light,Full caffeine,10.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,18.0,100.0,750.0
QAeYZY,>65 years old,3,"At the office, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cortado,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Half and half,"Granulated Sugar, Brown Sugar",Fruity,Somewhat strong,Blonde,Full caffeine,7.0,3.0,3.0,3.0,a,3.0,3.0,3.0,"Hazelnut, bold",3.0,3.0,3.0,Dark roast,3.0,3.0,3.0,"Fruity, light",Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Female,Transgender Female,Bachelor's degree,White/Caucasian,Mix,Employed full-time,2,Democrat,65.0,50.0,750.0
QA5JYA,25-34 years old,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Flat white,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Occasionally I will add collagen powder if I made instant coffee,Half and half,"Granulated Sugar, Brown Sugar",Sweet,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,3.0,a,3.0,3.0,3.0,"Hazelnut, bold",3.0,3.0,3.0,Dark roast,3.0,3.0,3.0,"Fruity, light",Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Female,Transgender Female,Bachelor's degree,White/Caucasian,Mix,Employed full-time,2,Democrat,29.5,50.0,750.0
Rz5BPj,25-34 years old,2,At a cafe,Pour over,Aeropress,Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Flat white,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Occasionally I will add collagen powder if I made instant coffee,Oat milk,Honey,Nutty,Somewhat strong,Nordic,Full caffeine,4.0,4.0,4.0,4.0,a,4.0,4.0,4.0,"Hazelnut, bold",4.0,4.0,4.0,Dark roast,4.0,4.0,4.0,"Fruity, light",Coffee B,Coffee D,Coffee A,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,29.5,30.0,750.0
jyDqva,18-24 years old,2,At the office,Pour over,Aeropress,Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,Flat white,"Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Oat milk,Honey,Nutty,Somewhat strong,Nordic,Full caffeine,4.0,4.0,4.0,4.0,a,4.0,4.0,4.0,"Hazelnut, bold",4.0,4.0,4.0,Dark roast,4.0,4.0,4.0,"Fruity, light",Coffee B,Coffee D,Coffee A,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
eB7QoJ,18-24 years old,3,At home,Pour over,Aeropress,Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,Flat white,"Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Oat milk,Honey,Bright,Somewhat light,Light,Full caffeine,6.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
24xzlg,18-24 years old, 4,At home,Other,Aeropress,Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Oat milk,Honey,Bright,Somewhat light,Light,Full caffeine,6.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
DVvoqX,35-44 years old, 4,"At the office, On the go, At home",Espresso,Mokkapot,Local cafe,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Cappuccino,Flat white,"Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Oat milk,Honey,Caramalized,Somewhat strong,Medium,Full caffeine,9.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,39.5,30.0,750.0
1r2YJQ,25-34 years old, 4,"At the office, At home, At a cafe, On the go",Coffee extract (e.g. Cometeer),Mokkapot,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Bold,Very strong,Light,Full caffeine,8.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,29.5,30.0,750.0
24xYOV,45-54 years old,1,At home,Pour over,Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Regular drip coffee,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Fruity,Medium,Light,Full caffeine,5.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,49.5,30.0,750.0
AlbYao,18-24 years old,2,"At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), French press",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Flat white,"Flavor syrup, Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
J2krYz,35-44 years old,1,"At home, At a cafe","Pour over, Espresso",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Fruity,Very strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,39.5,30.0,750.0
WAp6ak,35-44 years old,3,"At home, On the go","Espresso, Cold brew, Pour over",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Chocolatey,Very strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,39.5,30.0,750.0
aBr18q,25-34 years old,3,"At home, On the go","Espresso, Cold brew, Pour over",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Chocolatey,Very strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,29.5,30.0,750.0
42NYWO,18-24 years old,1,"At a cafe, At home, On the go","Espresso, Cold brew, Pour over",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Chocolatey,Very strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
6dQ08e,25-34 years old,1,"At a cafe, At home, On the go","Espresso, Cold brew, Pour over",Mokkapot,Specialty coffee shop,"I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Latte,Flat white,"Milk, dairy alternative, or coffee creamer",Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Chocolatey,Very strong,Medium,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,29.5,30.0,750.0
J2kj9J,18-24 years old,2,At home,"French press, Cold brew",Mokkapot,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Iced coffee,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
8dpDNA,18-24 years old,3,At home,"Pour over, Espresso",Mokkapot,"Local cafe, Specialty coffee shop","I don’t, cafe coffee has never appealed to me because of the cost to quantity ratio",Pourover,Flat white,No - just black,Occasionally I will add collagen powder if I made instant coffee,Whole milk,Honey,Fruity,Somewhat strong,Light,Full caffeine,7.0,3.0,3.0,4.0,a,3.0,3.0,5.0,"Hazelnut, bold",4.0,3.0,3.0,Dark roast,5.0,2.0,3.0,"Fruity, light",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,I don't,Yes,Yes,$4-$6,9.0,No,$500-$1000,Yes,Male,Transgender Female,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,21.0,30.0,750.0
